id_loca;id_div;id_leg;division;strata;id_taxo;DW;FW;LDMC;id_RT
RT01_d+15;Div0;Leg-;Leaf2;0;Bra_napus;306.5;1533.6;199.8565467;1
RT01_d+9;Div0;Leg-;Leaf3;0;Lol_peren;6.2;23;269.5652174;1
RT01_d0;Div0;Leg-;Leaf3;0;Bra_napus;192.6;723.7;266.1323753;1
RT01_d-12;Div0;Leg-;Leaf3;0;Lol_peren;4.4;27.3;161.1721612;1
RT01_d-15;Div0;Leg-;Leaf3;0;Bra_napus;369.8;1835.2;201.5039233;1
RT01_d-24;Div0;Leg-;Leaf3;0;Lol_peren;20.7;76.7;269.8826597;1
RT01_d-3;Div0;Leg-;Leaf3;0;Lol_peren;12.4;48.4;256.1983471;1
RT02_d+15;Div1;Leg-;Leaf3;0;Bra_napus;172.4;847;203.5419126;2
RT02_d+21;Div1;Leg-;Leaf2;0;Lol_peren;4.1;18.8;218.0851064;2
RT02_d+9;Div1;Leg-;Leaf3;0;Lol_peren;10.9;42.41245136;257;2
RT02_d0;Div1;Leg-;Leaf3;0;Bra_napus;262.4;1588.2;165.2184863;2
RT02_d-12;Div1;Leg-;Leaf2;0;Lol_peren;6.7;31.5;212.6984127;2
RT02_d-15;Div1;Leg-;Leaf3;0;Bra_napus;34.9;198.6;175.7301108;2
RT02_d-24;Div1;Leg-;Leaf4;0;Lol_peren;9.8;51;192.1568627;2
RT02_d-3;Div1;Leg-;Leaf4;0;Lol_peren;25.9;136.6;189.6046852;2
RT03_d+15;Div2;Leg-;Leaf3;0;Bra_napus;99.6;532.6;187.0071348;3
RT03_d+21;Div2;Leg-;Leaf3;0;Lol_peren;10.1;37.7;267.9045093;3
RT03_d+9;Div2;Leg-;Leaf4;0;Lol_peren;14.8;62.8;235.6687898;3
RT03_d0;Div2;Leg-;Leaf3;0;Bra_napus;315.2;1779.7;177.1085014;3
RT03_d-12;Div2;Leg-;Leaf5;0;Lol_peren;18.9;75.5;250.3311258;3
RT03_d-15;Div2;Leg-;Leaf2;0;Bra_napus;223.1;1096.3;203.5026909;3
RT03_d-18;Div2;Leg-;Limb;0;Ver_persi;;15.8;;3
RT03_d-24;Div2;Leg-;Leaf4;0;Lol_peren;14.2;48.7;291.5811088;3
RT03_d-3;Div2;Leg-;Leaf2;0;Lol_peren;2;9.9;202.020202;3
RT04_d+15;Div3;Leg-;Leaf2;0;Bra_napus;66.5;295.4;225.1184834;4
RT04_d+21;Div3;Leg-;Leaf3;0;Lol_peren;21.5;79.9;269.0863579;4
RT04_d+9;Div3;Leg-;Leaf2;0;Lol_peren;12;53.2;225.5639098;4
RT04_d0;Div3;Leg-;Leaf3;0;Bra_napus;503.5;2837.3;177.4574419;4
RT04_d-12;Div3;Leg-;Leaf4;0;Lol_peren;22.3;81.1;274.9691739;4
RT04_d-15;Div3;Leg-;Leaf3;0;Bra_napus;78.1;315;247.9365079;4
RT04_d-24;Div3;Leg-;Leaf3;0;Lol_peren;33.9;157.6;215.1015228;4
RT04_d-3;Div3;Leg-;Leaf3;0;Lol_peren;8.8;51.3;171.539961;4
RT05_d+15;Div0;Leg-;Leaf2;0;Bra_napus;81.5;350.9;232.2599031;5
RT05_d+21;Div0;Leg-;Leaf2;0;Lol_peren;7.2;34.4;209.3023256;5
RT05_d+9;Div0;Leg-;Leaf1;0;Lol_peren;2.6;11.6;224.137931;5
RT05_d0;Div0;Leg-;Leaf3;0;Bra_napus;389.6;2457.1;158.5609051;5
RT05_d-12;Div0;Leg-;Leaf5;0;Lol_peren;22.5;93.95;239.4890899;5
RT05_d-24;Div0;Leg-;Leaf4;0;Lol_peren;16.2;81.1;199.7533909;5
RT05_d-3;Div0;Leg-;Leaf4;0;Lol_peren;19.5;81.4;239.5577396;5
RT06_d+21;Div1;Leg-;Leaf2;0;Lol_peren;5.7;22.17898833;257;6
RT06_d+9;Div1;Leg-;Leaf2;0;Lol_peren;1.8;13;138.4615385;6
RT06_d0;Div1;Leg-;Leaf4;0;Bra_napus;450.3;2395.212766;188;6
RT06_d-12;Div1;Leg-;Leaf4;0;Lol_peren;8.4;36.6;229.5081967;6
RT06_d-15;Div1;Leg-;Leaf2;0;Bra_napus;255.6;1675.5;152.5514772;6
RT06_d-24;Div1;Leg-;Leaf3;0;Lol_peren;13.6;59.5;228.5714286;6
RT06_d-3;Div1;Leg-;Leaf3;0;Lol_peren;9.2;38.2;240.8376963;6
RT07_d+15;Div2;Leg-;Leaf4;0;Bra_napus;189.5;596.9;317.4736137;7
RT07_d+21;Div2;Leg-;Leaf3;0;Lol_peren;15.2;57.5;264.3478261;7
RT07_d+9;Div2;Leg-;Leaf3;0;Lol_peren;13.9;72.4;191.9889503;7
RT07_d0;Div2;Leg-;Leaf3;0;Bra_napus;366.3;2180;168.0275229;7
RT07_d-12;Div2;Leg-;Leaf4;0;Lol_peren;15.7;53.2;295.112782;7
