id_loca;id_div;id_leg;division;strata;id_taxo;DW;FW;RDMC;id_RT
RT01_d+12;Div0;Leg-;Fine roots;1;Ger_disse;0.3;1;300;1
RT01_d+15;Div0;Leg-;Fine roots;1;Bra_napus;32.3;265.1;121.8408148;1
RT01_d+15;Div0;Leg-;Taproot;1;Bra_napus;208.1;1207.7;172.3110044;1
RT01_d+15;Div0;Leg-;Fine roots;2;Bra_napus;103.7;748.2;138.599305;1
RT01_d+15;Div0;Leg-;Taproot;2;Bra_napus;59.3;380.2;155.9705418;1
RT01_d+15;Div0;Leg-;Fine roots;3;Bra_napus;197.2;1471.9;133.976493;1
RT01_d+15;Div0;Leg-;Taproot;3;Bra_napus;14.4;82.7;174.1233374;1
RT01_d+15;Div0;Leg-;Fine roots;4;Bra_napus;467.1;5208.5;89.68033023;1
RT01_d+15;Div0;Leg-;Taproot;4;Bra_napus;16.7;129.3;129.1569992;1
RT01_d+18;Div0;Leg-;Fine roots;1;Ver_persi;1.5;13;115.3846154;1
RT01_d+21;Div0;Leg-;Fine roots;1;Lol_peren;6.8;41.1;165.4501217;1
RT01_d+21;Div0;Leg-;Fine roots;2;Lol_peren;2.1;14.8;141.8918919;1
RT01_d+3;Div0;Leg-;Fine roots;1;Ger_disse;1.5;12.7;118.1102362;1
RT01_d+3;Div0;Leg-;Fine roots;2;Ger_disse;0.4;2.3;173.9130435;1
RT01_d+6;Div0;Leg-;Fine roots;1;Ver_persi;6.1;65.1;93.70199693;1
RT01_d+6;Div0;Leg-;Fine roots;2;Ver_persi;3;31.1;96.46302251;1
RT01_d+9;Div0;Leg-;Fine roots;1;Lol_peren;9.9;75.9;130.4347826;1
RT01_d+9;Div0;Leg-;Fine roots;2;Lol_peren;21.9;187;117.1122995;1
RT01_d+9;Div0;Leg-;Fine roots;3;Lol_peren;0.7;5.6;125;1
RT01_d0;Div0;Leg-;Fine roots;1;Bra_napus;4.3;38.4;111.9791667;1
RT01_d0;Div0;Leg-;Taproot;1;Bra_napus;51.6;314.3;164.1743557;1
RT01_d0;Div0;Leg-;Fine roots;2;Bra_napus;33.2;294.2;112.8484024;1
