"","div","x","se","prof","strate","semin","semax"
"1","Div0",21.6774193548387,1.04918858535182,-3.5,"R1",19.5790421841351,23.7757965255423
"2","Div1",18.2666666666667,1.04212745815129,-4.5,"R1",16.1824117503641,20.3509215829692
"3","Div2",24.7297297297297,0.926599949257778,-5.5,"R1",22.8765298312142,26.5829296282453
"4","Div3",22.037037037037,1.12220925299852,-6.5,"R1",19.79261853104,24.2814555430341
"5","Div0",15,0.960195693311159,-18.5,"R2",13.0796086133777,16.9203913866223
"6","Div1",11.6153846153846,0.994080921469198,-19.5,"R2",9.62722277244622,13.603546458323
"7","Div2",17.75,0.82947666149512,-20.5,"R2",16.0910466770098,19.4089533229902
"8","Div3",20.875,1.03132803698843,-21.5,"R2",18.8123439260231,22.9376560739769
"9","Div0",2.23809523809524,0.0827824426247633,-38.5,"R3",2.07253035284571,2.40366012334477
"10","Div1",1.11111111111111,0.123544932484867,-39.5,"R3",0.864021246141376,1.35820097608085
"11","Div2",1.30434782608696,0.0693964247038258,-40.5,"R3",1.16555497667931,1.44314067549461
"12","Div3",4.66666666666667,0.0832939764893281,-41.5,"R3",4.50007871368801,4.83325461964532
"13","Div0",2.2,0.0495561508655557,-68.5,"R4",2.10088769826889,2.29911230173111
"14","Div1",1.85037170770859e-17,0.101156069364162,-69.5,"R4",-0.202312138728324,0.202312138728324
"15","Div2",0.4,0.0743342262983335,-70.5,"R4",0.251331547403333,0.548668452596667
"16","Div3",6.125,0.0496666440927295,-71.5,"R4",6.02566671181454,6.22433328818546
