"","RT","div","leg","FW_i","FW_f","massLoss","A.longa","L.terrestris","A.giardi","A.caliginosa","A.icterica","long","nbNodes","connec","serie","position","PAR"
"1",2,"Div1","Leg-",7.1255,2.244,0.685074731597783,0,1,0,7,4,20.82882353,1068,0.001674336,"s1","2",544
"2",3,"Div2","Leg-",7.655,4.6434,0.393416067929458,0,0,1,7,4,27.47714286,1412,0.001343652,"s1","3",564
"3",4,"Div3","Leg-",6.2526,4.8363,0.226513770271567,1,1,0,0,5,26.25647059,1233,0.001394287,"s1","4",551
"4",6,"Div1","Leg-",7.5459,1.4013,0.814296505387031,0,1,0,7,4,24.95831933,1554,0.001102197,"s1","6",553.333333333333
"5",7,"Div2","Leg-",7.3588,4.6576,0.367070718051856,0,0,1,7,4,27.36798319,1725,0.000998016,"s1","7",546
"6",8,"Div3","Leg-",6.8973,1.6547,0.760094529743523,1,1,0,0,5,8.689411765,226,0.008829892,"s1","8",523.333333333333
"7",10,"Div1","Leg-",7.4952,2.242,0.700875226811826,0,1,0,7,4,21.31176471,1138,0.001489289,"s1","10",523.333333333333
"8",12,"Div1","Leg+",6.2809,1.2468,0.801493416548584,0,1,0,7,4,13.68983193,667,0.002555029,"s1","9",532
"9",13,"Div2","Leg+",7.263,4.4936,0.381302492083161,0,0,1,7,4,32.66428571,1949,0.000865499,"s1","8",508.333333333333
"10",14,"Div3","Leg+",6.7889,3.0546,0.550059656203509,1,1,0,0,5,28.88218487,1679,0.000986384,"s1","7",521.333333333333
"11",16,"Div1","Leg+",6.724,3.895,0.420731707317073,0,1,0,7,4,24.12815126,1204,0.001406368,"s1","5",553
"12",17,"Div2","Leg+",7.1702,1.2297,0.828498507712477,0,0,1,7,4,21.01369748,1279,0.001307384,"s1","4",556
"13",18,"Div3","Leg+",7.1813,0.6485,0.909696016041664,1,1,0,0,5,9.030168067,347,0.005305592,"s1","3",541
"14",20,"Div1","Leg+",6.4961,3.2683,0.496882745031634,0,1,0,7,5,24.28579832,1360,0.001233606,"s1","1",530.333333333333
"15",21,"Div2","Leg-",8.61,7.0996,0.175423925667828,0,0,1,7,4,16.15596639,708,0.002569143,"s2","1",530.333333333333
"16",22,"Div3","Leg-",8.45,5.6092,0.336189349112426,1,1,0,0,5,23.42352941,1256,0.001412186,"s2","2",547.666666666667
"17",24,"Div1","Leg-",8.67,2.4704,0.715063437139562,0,1,0,7,4,24.5592437,1632,0.001062066,"s2","4",556
"18",25,"Div2","Leg-",8.83,4.6512,0.473250283125708,0,0,1,7,4,34.70176471,2327,0.000726638,"s2","5",553
"19",26,"Div3","Leg-",8.28,6.9998,0.154613526570048,1,1,0,0,5,20.05411765,966,0.001880518,"s2","6",549.666666666667
"20",28,"Div1","Leg-",8.2,3.8502,0.530463414634146,0,1,0,7,4,34.1692437,2377,0.000711256,"s2","8",508.333333333333
"21",29,"Div2","Leg-",8.98,6.702,0.253674832962138,0,0,1,7,4,43.78773109,3161,0.000532098,"s2","9",532
"22",30,"Div3","Leg-",9.35,4.0137,0.570727272727273,1,1,0,0,5,18.35764706,799,0.002329039,"s2","10",507.333333333333
"23",31,"Div2","Leg+",8.91,1.9991,0.775634118967452,0,0,1,7,4,18.57579832,1014,0.00176405,"s2","10",523.333333333333
"24",32,"Div3","Leg+",8.6,4.176,0.514418604651163,1,1,0,0,5,23.38966387,1212,0.00146212,"s2","9",527
"25",34,"Div1","Leg+",8.39,2.6103,0.688879618593564,0,1,0,7,4,25.56605042,1420,0.001234255,"s2","7",546
"26",35,"Div2","Leg+",8.73,3.2946,0.622611683848797,0,0,1,7,4,31.79327731,1752,0.000992583,"s2","6",553.333333333333
"27",36,"Div3","Leg+",8.69,6.1599,0.291150747986191,1,1,0,0,5,21.88411765,1167,0.00167999,"s2","5",584.666666666667
"28",38,"Div1","Leg+",8.36,3.7934,0.546244019138756,0,1,0,7,4,25.51672269,1409,0.001226894,"s2","3",564
"29",39,"Div2","Leg+",9.4005,6.7864,0.27808095314079,0,0,1,7,4,33.15915966,1809,0.000934059,"s2","2",544
"30",40,"Div3","Leg+",8.7,2.2626,0.739931034482759,1,1,0,0,5,8.656470588,206,0.011816244,"s2","1",488.79
"31",41,"Div1","Leg-",8.25,5.0717,0.385248484848485,0,1,0,0,5,42.69521008,2982,0.000569108,"s2","11",507.333333333333
"32",42,"Div2","Leg+",8.71,3.8481,0.558197474167623,0,0,1,7,4,34.53201681,1988,0.000884269,"s2","11",523.333333333333
