"","RT","div","leg","id_taxo","FW_i","FW_f","massLoss","serie","position","PAR"
"1",2,"Div1","Leg-","Apo_calig",2.64,1.029,0.610227272727273,"s1","2",544
"2",2,"Div1","Leg-","Apo_icter",2.5,1.215,0.514,"s1","2",544
"3",2,"Div1","Leg-","Lum_terre",1.9855,0,1,"s1","2",544
"4",3,"Div2","Leg-","Apo_calig",2.52,1.557,0.382142857142857,"s1","3",564
"5",3,"Div2","Leg-","Apo_giard",2.755,2.3848,0.13437386569873,"s1","3",564
"6",3,"Div2","Leg-","Apo_icter",2.38,0.7016,0.705210084033613,"s1","3",564
"7",4,"Div3","Leg-","Apo_icter",3.17,1.9314,0.390725552050473,"s1","4",551
"8",4,"Div3","Leg-","Apo_longa",1.56,1.4844,0.0484615384615385,"s1","4",551
"9",4,"Div3","Leg-","Lum_terre",1.5226,1.4205,0.0670563509785892,"s1","4",551
"10",6,"Div1","Leg-","Apo_calig",2.51,1.4013,0.441713147410358,"s1","6",553.333333333333
"11",6,"Div1","Leg-","Apo_icter",3.19,0,1,"s1","6",553.333333333333
"12",6,"Div1","Leg-","Lum_terre",1.8459,0,1,"s1","6",553.333333333333
"13",7,"Div2","Leg-","Apo_calig",2.54,1.3818,0.455984251968504,"s1","7",546
"14",7,"Div2","Leg-","Apo_giard",2.3788,1.8622,0.217168320161426,"s1","7",546
"15",7,"Div2","Leg-","Apo_icter",2.44,1.4136,0.420655737704918,"s1","7",546
"16",8,"Div3","Leg-","Apo_icter",3.31,0.4103,0.876042296072508,"s1","8",523.333333333333
"17",8,"Div3","Leg-","Apo_longa",1.3689,1.2444,0.0909489371027833,"s1","8",523.333333333333
"18",8,"Div3","Leg-","Lum_terre",2.2184,0,1,"s1","8",523.333333333333
"19",10,"Div1","Leg-","Apo_calig",2.52,0.8553,0.660595238095238,"s1","10",523.333333333333
"20",10,"Div1","Leg-","Apo_icter",2.38,1.3867,0.417352941176471,"s1","10",523.333333333333
"21",10,"Div1","Leg-","Lum_terre",2.5952,0,1,"s1","10",523.333333333333
"22",12,"Div1","Leg+","Apo_calig",2.43,0.6752,0.722139917695473,"s1","9",532
"23",12,"Div1","Leg+","Apo_icter",2.52,0.5716,0.773174603174603,"s1","9",532
"24",12,"Div1","Leg+","Lum_terre",1.3309,0,1,"s1","9",532
"25",13,"Div2","Leg+","Apo_calig",2.44,1.5411,0.368401639344262,"s1","8",508.333333333333
"26",13,"Div2","Leg+","Apo_giard",2.343,1.9253,0.178275714895433,"s1","8",508.333333333333
"27",13,"Div2","Leg+","Apo_icter",2.48,1.0272,0.585806451612903,"s1","8",508.333333333333
"28",14,"Div3","Leg+","Apo_icter",3.33,2.0342,0.389129129129129,"s1","7",521.333333333333
"29",14,"Div3","Leg+","Apo_longa",1.7626,1.0204,0.421082491773516,"s1","7",521.333333333333
"30",14,"Div3","Leg+","Lum_terre",1.6963,0,1,"s1","7",521.333333333333
"31",16,"Div1","Leg+","Apo_calig",2.59,1.9426,0.24996138996139,"s1","5",553
"32",16,"Div1","Leg+","Apo_icter",2.46,1.9524,0.206341463414634,"s1","5",553
"33",16,"Div1","Leg+","Lum_terre",1.674,0,1,"s1","5",553
"34",17,"Div2","Leg+","Apo_calig",2.4,1.2297,0.487625,"s1","4",556
"35",17,"Div2","Leg+","Apo_giard",2.1702,0,1,"s1","4",556
"36",17,"Div2","Leg+","Apo_icter",2.6,0,1,"s1","4",556
"37",18,"Div3","Leg+","Apo_icter",3.14,0.6485,0.793471337579618,"s1","3",541
"38",18,"Div3","Leg+","Apo_longa",1.7101,0,1,"s1","3",541
"39",18,"Div3","Leg+","Lum_terre",2.3312,0,1,"s1","3",541
"40",20,"Div1","Leg+","Apo_calig",2.51,1.5065,0.399800796812749,"s1","1",530.333333333333
"41",20,"Div1","Leg+","Apo_icter",2.51,1.7618,0.29808764940239,"s1","1",530.333333333333
"42",20,"Div1","Leg+","Lum_terre",1.4761,0,1,"s1","1",530.333333333333
"43",21,"Div2","Leg-","Apo_calig",3.01,1.8176,0.396146179401993,"s2","1",530.333333333333
"44",21,"Div2","Leg-","Apo_giard",2.81,2.7054,0.0372241992882562,"s2","1",530.333333333333
"45",21,"Div2","Leg-","Apo_icter",2.79,2.5766,0.0764874551971326,"s2","1",530.333333333333
"46",22,"Div3","Leg-","Apo_icter",3.5,1.7595,0.497285714285714,"s2","2",547.666666666667
"47",22,"Div3","Leg-","Apo_longa",1.75,1.4356,0.179657142857143,"s2","2",547.666666666667
"48",22,"Div3","Leg-","Lum_terre",3.2,2.4141,0.24559375,"s2","2",547.666666666667
"49",24,"Div1","Leg-","Apo_calig",3.04,1.0521,0.653914473684211,"s2","4",556
"50",24,"Div1","Leg-","Apo_icter",2.86,1.4183,0.504090909090909,"s2","4",556
"51",24,"Div1","Leg-","Lum_terre",2.77,0,1,"s2","4",556
