"","RT","leg","div","id_taxo","distance","id_loca","serie","position","PAR","numPL","Fine roots","Limb","Leaves","Stem","Taproot","NA"
"1",1,"Leg-","Div0","Bra_napus",-15,"RT01_d-15","s1","1",488.79,"4",2.0184,2.4297,2.2377,2.1354,1.9229,NA
"2",1,"Leg-","Div0","Bra_napus",0,"RT01_d0","s1","1",488.79,"9",1.9857,1.1757,1.3761,1.4123,1.7775,NA
"3",1,"Leg-","Div0","Bra_napus",15,"RT01_d+15","s1","1",488.79,"14",2.0251,1.9401,2.2514,1.9871,1.7899,NA
"4",1,"Leg-","Div0","Lol_peren",-3,"RT01_d-3","s1","1",488.79,"8",1.0963,1.0866,0.8845,NA,NA,NA
"5",1,"Leg-","Div0","Lol_peren",-12,"RT01_d-12","s1","1",488.79,"5",1.1991,1.158,0.8835,NA,NA,NA
"6",1,"Leg-","Div0","Lol_peren",9,"RT01_d+9","s1","1",488.79,"12",1.1097,0.8823,0.7728,NA,NA,NA
"7",2,"Leg-","Div1","Bra_napus",-15,"RT02_d-15","s1","2",544,"4",2.4832,4.44385,3.692,NA,2.0534,NA
"8",2,"Leg-","Div1","Bra_napus",15,"RT02_d+15","s1","2",544,"14",2.3165,2.3901,2.3036,1.9854,1.8316,NA
"9",2,"Leg-","Div1","Bra_napus",0,"RT02_d0","s1","2",544,"9",2.0647,3.3412,3.7768,3.296,2.6094,NA
"10",2,"Leg-","Div1","Lol_peren",-12,"RT02_d-12","s1","2",544,"5",1.4015,3.5573,2.4439,NA,NA,NA
"11",2,"Leg-","Div1","Lol_peren",-3,"RT02_d-3","s1","2",544,"8",1.5463,2.9667,2.3985,NA,NA,NA
"12",2,"Leg-","Div1","Lol_peren",9,"RT02_d+9","s1","2",544,"12",0.9752,0.8314,0.8357,NA,NA,NA
"13",3,"Leg-","Div2","Bra_napus",-15,"RT03_d-15","s1","3",564,"4",2.06555,1.737,1.8475,1.7871,1.576,NA
"14",3,"Leg-","Div2","Bra_napus",0,"RT03_d0","s1","3",564,"9",1.8064,2.1763,2.7957,2.8721,2.045,NA
"15",3,"Leg-","Div2","Lol_peren",-12,"RT03_d-12","s1","3",564,"5",1.3922,1.0159,1.1177,NA,NA,NA
"16",3,"Leg-","Div2","Lol_peren",9,"RT03_d+9","s1","3",564,"12",0.8069,1.0931,1.0747,NA,NA,NA
"17",3,"Leg-","Div2","Lol_peren",-3,"RT03_d-3","s1","3",564,"8",0.8401,NA,1.5868,NA,NA,NA
"18",3,"Leg-","Div2","Bra_napus",15,"RT03_d+15","s1","3",564,"14",2.2076,2.34485,2.35785,1.8456,2.077,NA
"19",4,"Leg-","Div3","Bra_napus",-15,"RT04_d-15","s1","4",551,"4",1.89345,1.4185,1.1,1.2616,1.6483,NA
"20",4,"Leg-","Div3","Lol_peren",-12,"RT04_d-12","s1","4",551,"5",0.9797,0.9652,0.9752,NA,NA,NA
"21",4,"Leg-","Div3","Bra_napus",0,"RT04_d0","s1","4",551,"9",2.0696,2.3866,2.819,2.6024,1.9374,NA
"22",4,"Leg-","Div3","Lol_peren",-3,"RT04_d-3","s1","4",551,"8",0.9814,1.2332,1.2646,NA,NA,NA
"23",4,"Leg-","Div3","Bra_napus",15,"RT04_d+15","s1","4",551,"14",1.8558,1.3508,0.897,1.5797,1.6222,NA
"24",4,"Leg-","Div3","Lol_peren",9,"RT04_d+9","s1","4",551,"12",1.2294,1.1884,1.1078,NA,NA,NA
"25",5,"Leg-","Div0","Lol_peren",9,"RT05_d+9","s1","5",584.666666666667,"12",1.134,NA,0.9449,NA,NA,NA
"26",5,"Leg-","Div0","Lol_peren",-3,"RT05_d-3","s1","5",584.666666666667,"8",0.9207,1.0229,1.0948,NA,NA,NA
"27",5,"Leg-","Div0","Lol_peren",-12,"RT05_d-12","s1","5",584.666666666667,"5",0.9045,0.8338,0.9106,NA,NA,NA
"28",5,"Leg-","Div0","Bra_napus",0,"RT05_d0","s1","5",584.666666666667,"9",1.9573,2.3894,2.7774,2.4936,1.9971,NA
"29",5,"Leg-","Div0","Bra_napus",15,"RT05_d+15","s1","5",584.666666666667,"14",2.34145,1.4335,1.3877,1.1912,1.7635,NA
"30",6,"Leg-","Div1","Bra_napus",-15,"RT06_d-15","s1","6",553.333333333333,"4",1.8042,2.7898,2.5046,2.2694,1.9297,NA
"31",6,"Leg-","Div1","Bra_napus",15,"RT06_d+15","s1","6",553.333333333333,"14",1.9152,NA,1.3394,1.1837,NA,NA
"32",6,"Leg-","Div1","Lol_peren",-12,"RT06_d-12","s1","6",553.333333333333,"5",1.019,0.9296,0.9838,NA,NA,NA
"33",6,"Leg-","Div1","Bra_napus",0,"RT06_d0","s1","6",553.333333333333,"9",1.9254,1.6009,2.6959,2.1928,1.8985,NA
"34",6,"Leg-","Div1","Lol_peren",9,"RT06_d+9","s1","6",553.333333333333,"12",2.2654,NA,3.3389,NA,NA,NA
"35",6,"Leg-","Div1","Lol_peren",-3,"RT06_d-3","s1","6",553.333333333333,"8",1.019,2.588,1.2378,NA,NA,NA
"36",7,"Leg-","Div2","Bra_napus",-15,"RT07_d-15","s1","7",546,"4",2.0456,1.4538,1.8213,1.621,1.5804,NA
"37",7,"Leg-","Div2","Lol_peren",9,"RT07_d+9","s1","7",546,"12",1.1975,1.0062,0.836,NA,NA,NA
"38",7,"Leg-","Div2","Lol_peren",-12,"RT07_d-12","s1","7",546,"5",0.8791,0.836,0.9214,NA,NA,NA
"39",7,"Leg-","Div2","Bra_napus",0,"RT07_d0","s1","7",546,"9",2.025,2.2225,2.748,2.8241,2.0618,NA
"40",7,"Leg-","Div2","Bra_napus",15,"RT07_d+15","s1","7",546,"14",2.0919,0.8156,0.9091,1.0914,1.2782,NA
"41",7,"Leg-","Div2","Lol_peren",-3,"RT07_d-3","s1","7",546,"8",0.9659,1.2058,1.1129,NA,NA,NA
"42",8,"Leg-","Div3","Bra_napus",-15,"RT08_d-15","s1","8",523.333333333333,"4",1.7716,2.0865,2.3181,2.1973,2.0935,NA
"43",8,"Leg-","Div3","Bra_napus",0,"RT08_d0","s1","8",523.333333333333,"9",2.0229,2.124,2.3509,2.1897,1.9185,NA
"44",8,"Leg-","Div3","Lol_peren",-12,"RT08_d-12","s1","8",523.333333333333,"5",NA,1.1867,1.2051,NA,NA,NA
"45",8,"Leg-","Div3","Lol_peren",9,"RT08_d+9","s1","8",523.333333333333,"12",1.2849,1.5632,1.5969,NA,NA,NA
"46",8,"Leg-","Div3","Lol_peren",-3,"RT08_d-3","s1","8",523.333333333333,"8",0.8857,1.1086,0.9014,NA,NA,NA
"47",8,"Leg-","Div3","Bra_napus",15,"RT08_d+15","s1","8",523.333333333333,"14",NA,NA,4.6287,NA,NA,NA
"48",9,"Leg-","Div0","Bra_napus",-15,"RT09_d-15","s1","9",527,"4",1.6782,2.8796,3.1885,2.5994,2.4154,NA
"49",9,"Leg-","Div0","Bra_napus",0,"RT09_d0","s1","9",527,"9",2.0121,2.8017,2.8397,2.6766,2.3238,NA
"50",9,"Leg-","Div0","Lol_peren",9,"RT09_d+9","s1","9",527,"12",1.3575,NA,1.2243,NA,NA,NA
"51",9,"Leg-","Div0","Lol_peren",-12,"RT09_d-12","s1","9",527,"5",0.9004,0.8814,0.8948,NA,NA,NA
"52",9,"Leg-","Div0","Lol_peren",-3,"RT09_d-3","s1","9",527,"8",1.1204,1.1924,1.0482,NA,NA,NA
"53",10,"Leg-","Div1","Lol_peren",-24,"RT10_d-24","s1","10",523.333333333333,"1",NA,1.4253,NA,NA,NA,NA
"54",10,"Leg-","Div1","Bra_napus",-15,"RT10_d-15","s1","10",523.333333333333,"4",2.29485,1.2338,1.25645,1.4048,1.6893,NA
"55",10,"Leg-","Div1","Lol_peren",-12,"RT10_d-12","s1","10",523.333333333333,"5",1.0281,0.8087,0.9408,NA,NA,NA
"56",10,"Leg-","Div1","Bra_napus",0,"RT10_d0","s1","10",523.333333333333,"9",2.2778,NA,2.1744,2.4673,2.19615,NA
"57",10,"Leg-","Div1","Bra_napus",15,"RT10_d+15","s1","10",523.333333333333,"14",2.246,1.9489,2.0007,2.2912,1.7724,NA
"58",10,"Leg-","Div1","Lol_peren",-3,"RT10_d-3","s1","10",523.333333333333,"8",0.9937,0.8861,1.0806,0.6885,NA,NA
"59",10,"Leg-","Div1","Lol_peren",9,"RT10_d+9","s1","10",523.333333333333,"12",1.2015,1.3267,1.2376,NA,NA,NA
"60",11,"Leg+","Div0","Tri_alexa",12,"RT11_d+12","s1","10",507.333333333333,"5",3.2427,2.6865,2.2388,3.6304,NA,NA
"61",11,"Leg+","Div0","Bra_napus",-15,"RT11_d-15","s1","10",507.333333333333,"14",1.2994,0.9486,0.8978,NA,NA,NA
"62",11,"Leg+","Div0","Tri_alexa",-3,"RT11_d-3","s1","10",507.333333333333,"10",2.9078,2.8097,2.1498,3.2117,NA,NA
"63",11,"Leg+","Div0","Tri_alexa",6,"RT11_d+6","s1","10",507.333333333333,"7",3.1136,2.9212,2.1351,3.4594,NA,NA
"64",11,"Leg+","Div0","Lol_peren",-12,"RT11_d-12","s1","10",507.333333333333,"13",1.5147,NA,0.862,NA,NA,NA
