"","RT","leg","div","id_taxo","distance","serie","position","PAR","numPL","Leaves","Limb","Stem","Fine roots","Taproot","Aerial"
"1",1,"Leg-","Div0","Bra_napus",0,"s1","1",488.79,"9",1.81973854636591,1.46564626898525,2.45474131274131,2.1839192440031,3.01226828475353,NA
"2",1,"Leg-","Div0","Bra_napus",-15,"s1","1",488.79,"4",2.20475990104733,1.86130727555877,2.23733598473961,1.20787940307279,2.43342171428571,NA
"3",1,"Leg-","Div0","Bra_napus",15,"s1","1",488.79,"14",1.86223984811729,1.71995402298851,1.90364747012987,2.3270002918944,2.16896476894595,NA
"4",1,"Leg-","Div0","Lol_peren",-12,"s1","1",488.79,"5",1.57359935064935,NA,NA,1.21005266622778,NA,NA
"5",1,"Leg-","Div0","Lol_peren",9,"s1","1",488.79,"12",NA,NA,NA,0.907907935674926,NA,NA
"6",1,"Leg-","Div0","Lol_peren",-3,"s1","1",488.79,"8",1.89820555984556,NA,NA,2.05428763963964,NA,NA
"7",2,"Leg-","Div1","Bra_napus",15,"s1","2",544,"14",3.33085104327083,1.30840190489433,1.724980351069,2.40441344879164,3.20493416322727,NA
"8",2,"Leg-","Div1","Bra_napus",-15,"s1","2",544,"4",2.22537490784197,1.01318313080218,NA,NA,NA,NA
"9",2,"Leg-","Div1","Lol_peren",-3,"s1","2",544,"8",1.37148450827008,0.0762609137709137,NA,1.04745328185328,NA,NA
"10",2,"Leg-","Div1","Bra_napus",0,"s1","2",544,"9",1.7627852065293,1.41057803127245,1.78339552555121,1.92514320933304,1.84127539804828,NA
"11",2,"Leg-","Div1","Lol_peren",9,"s1","2",544,"12",0.394137813365262,NA,NA,0.904914480284559,NA,NA
"12",3,"Leg-","Div2","Lol_peren",9,"s1","3",564,"12",1.81519599890244,NA,NA,1.31000927261168,NA,NA
"13",3,"Leg-","Div2","Bra_napus",0,"s1","3",564,"9",1.90304777849196,1.22658268980042,2.00647995955139,1.86720360473946,1.86053830393856,NA
