RT;div;leg;dist;SGDm
1;Div0;Leg-;-15;6.27527188447139
1;Div0;Leg-;0;4.58937735800537
1;Div0;Leg-;15;5.63097414468529
2;Div1;Leg-;-15;18
2;Div1;Leg-;0;11.7649711206064
2;Div1;Leg-;15;12.2208839660179
3;Div2;Leg-;-15;11.5002268696119
3;Div2;Leg-;0;5.28404465818996
3;Div2;Leg-;15;8.86272291198853
4;Div3;Leg-;-15;14.329478649808
4;Div3;Leg-;0;4.694522503569
4;Div3;Leg-;15;12.9490374256405
5;Div0;Leg-;0;3.00716082090268
5;Div0;Leg-;15;18.8736474113534
6;Div1;Leg-;-15;6.23172223108416
6;Div1;Leg-;0;10.2348186528498
6;Div1;Leg-;15;19.7710457908418
7;Div2;Leg-;-15;11.0772370486656
7;Div2;Leg-;0;6.89841507367143
7;Div2;Leg-;15;11.0607344632768
8;Div3;Leg-;-15;7.17814300277375
8;Div3;Leg-;0;4.15928785096038
9;Div0;Leg-;-15;3.73139616093805
9;Div0;Leg-;0;2.35847310375409
10;Div1;Leg-;-15;3.85194555923923
10;Div1;Leg-;0;4.06186131780439
10;Div1;Leg-;15;
11;Div0;Leg+;-15;14
11;Div0;Leg+;0;3.31978383458648
11;Div0;Leg+;15;4.97452104819391
12;Div1;Leg+;-15;12.701270022755
12;Div1;Leg+;0;4.8643472024594
12;Div1;Leg+;15;14
13;Div2;Leg+;-15;6.09630337856955
13;Div2;Leg+;0;5.105350128817
13;Div2;Leg+;15;3.9252414951701
14;Div3;Leg+;-15;17.111030478955
14;Div3;Leg+;0;10.0032730718066
14;Div3;Leg+;15;11.4020150214517
15;Div0;Leg+;-15;
15;Div0;Leg+;0;4.06114053971968
15;Div0;Leg+;15;8.01568358460748
16;Div1;Leg+;0;4.28828105461296
16;Div1;Leg+;15;3.5412699771079
17;Div2;Leg+;-15;12.3484555682067
17;Div2;Leg+;0;18.5
18;Div3;Leg+;-15;13.9203896944783
18;Div3;Leg+;0;9.95800632221496
18;Div3;Leg+;15;10.3880597014925
19;Div0;Leg+;-15;7.8611648355013
19;Div0;Leg+;0;5.64327060642963
19;Div0;Leg+;15;5.61225103743617
20;Div1;Leg+;-15;2.44657755782459
20;Div1;Leg+;0;9.57922629369722
20;Div1;Leg+;15;8.76556572939082
21;Div2;Leg-;-15;7.08888664682438
21;Div2;Leg-;0;6.99615587487811
21;Div2;Leg-;15;9.12843154236521
22;Div3;Leg-;-15;12.0224502108926
22;Div3;Leg-;0;10.3296398891967
22;Div3;Leg-;15;13.9716321823252
23;Div0;Leg-;-15;
23;Div0;Leg-;0;10.3671787186212
23;Div0;Leg-;15;12.2864651484188
24;Div1;Leg-;-15;12.7786450027862
24;Div1;Leg-;0;6.37092231549588
24;Div1;Leg-;15;9.775148050385
25;Div2;Leg-;-15;12.374504115769
25;Div2;Leg-;0;8.32281695204709
25;Div2;Leg-;15;8.2195614153101
26;Div3;Leg-;-15;15.0727969348659
26;Div3;Leg-;0;5.19133971092732
26;Div3;Leg-;15;16.1559502793601
27;Div0;Leg-;-15;11.2992125041888
27;Div0;Leg-;0;7.69748455950212
27;Div0;Leg-;15;6.39884135472372
28;Div1;Leg-;-15;12.349021737535
28;Div1;Leg-;0;3.51172962226642
28;Div1;Leg-;15;8.19403041083142
29;Div2;Leg-;-15;9.57602880189582
29;Div2;Leg-;0;12.3971813410651
29;Div2;Leg-;15;5.87293473042053
30;Div3;Leg-;-15;5.63288447909284
30;Div3;Leg-;0;7.50533583064727
30;Div3;Leg-;15;5.39827454096547
31;Div2;Leg+;-15;5.91245692223002
31;Div2;Leg+;0;8.63047917067761
31;Div2;Leg+;15;10.9743831674294
32;Div3;Leg+;-15;6.7174438629335
32;Div3;Leg+;0;13.2477590534242
32;Div3;Leg+;15;10.948130493607
33;Div0;Leg+;-15;7.9116564417178
33;Div0;Leg+;0;7.66054405749321
33;Div0;Leg+;15;8.11097584013768
34;Div1;Leg+;-15;9.01096446910931
34;Div1;Leg+;0;12.419290235187
34;Div1;Leg+;15;12.2449669136326
35;Div2;Leg+;-15;12.9431128598742
35;Div2;Leg+;0;12.7125979422773
35;Div2;Leg+;15;10.4966767262519
36;Div3;Leg+;-15;10.5
36;Div3;Leg+;15;10.6746380853963
37;Div0;Leg+;-15;13.7938252223967
37;Div0;Leg+;0;7.71133770332606
37;Div0;Leg+;15;12.3271985977747
38;Div1;Leg+;-15;8.37268875664291
38;Div1;Leg+;0;6.78251706648112
38;Div1;Leg+;15;10.8031741592673
39;Div2;Leg+;-15;10.9889867115112
39;Div2;Leg+;0;11.4201532296449
39;Div2;Leg+;15;12.3511313245464
40;Div3;Leg+;-15;7.79711712208782
40;Div3;Leg+;0;11.1020072872779
40;Div3;Leg+;15;8.50016873552996
41;Div1;Leg-;-15;12.6311922039617
41;Div1;Leg-;0;5.17056753367582
41;Div1;Leg-;15;3.99460452882362
42;Div2;Leg+;-15;4.3628994250165
42;Div2;Leg+;0;10.9778518197601
42;Div2;Leg+;15;4.81331273873384
