RT;leg;div;id_taxo;distance;id_loca;org;N
10;Leg-;Div1;Lol_peren;-24;RT10_d-24;Leaf3;1.4253
1;Leg-;Div0;Bra_napus;-15;RT01_d-15;Fine roots;2.0184
1;Leg-;Div0;Bra_napus;-15;RT01_d-15;Leaf3;2.4297
1;Leg-;Div0;Bra_napus;-15;RT01_d-15;Other leaves;2.2377
1;Leg-;Div0;Bra_napus;-15;RT01_d-15;Stem;2.1354
1;Leg-;Div0;Bra_napus;-15;RT01_d-15;Taproot;1.9229
2;Leg-;Div1;Bra_napus;-15;RT02_d-15;Fine roots;2.4832
2;Leg-;Div1;Bra_napus;-15;RT02_d-15;Leaf3;4.44385
2;Leg-;Div1;Bra_napus;-15;RT02_d-15;Other leaves;3.692
2;Leg-;Div1;Bra_napus;-15;RT02_d-15;Taproot;2.0534
3;Leg-;Div2;Bra_napus;-15;RT03_d-15;Fine roots;2.06555
3;Leg-;Div2;Bra_napus;-15;RT03_d-15;Leaf2;1.737
3;Leg-;Div2;Bra_napus;-15;RT03_d-15;Other leaves;1.8475
3;Leg-;Div2;Bra_napus;-15;RT03_d-15;Stem;1.7871
3;Leg-;Div2;Bra_napus;-15;RT03_d-15;Taproot;1.576
4;Leg-;Div3;Bra_napus;-15;RT04_d-15;Fine roots;1.89345
4;Leg-;Div3;Bra_napus;-15;RT04_d-15;Leaf3;1.4185
4;Leg-;Div3;Bra_napus;-15;RT04_d-15;Other leaves;1.1
4;Leg-;Div3;Bra_napus;-15;RT04_d-15;Stem;1.2616
4;Leg-;Div3;Bra_napus;-15;RT04_d-15;Taproot;1.6483
6;Leg-;Div1;Bra_napus;-15;RT06_d-15;Fine roots;1.8042
6;Leg-;Div1;Bra_napus;-15;RT06_d-15;Leaf2;2.7898
6;Leg-;Div1;Bra_napus;-15;RT06_d-15;Other leaves;2.5046
6;Leg-;Div1;Bra_napus;-15;RT06_d-15;Stem;2.2694
6;Leg-;Div1;Bra_napus;-15;RT06_d-15;Taproot;1.9297
7;Leg-;Div2;Bra_napus;-15;RT07_d-15;Fine roots;2.0456
7;Leg-;Div2;Bra_napus;-15;RT07_d-15;Leaf3;1.4538
7;Leg-;Div2;Bra_napus;-15;RT07_d-15;Other leaves;1.8213
7;Leg-;Div2;Bra_napus;-15;RT07_d-15;Stem;1.621
7;Leg-;Div2;Bra_napus;-15;RT07_d-15;Taproot;1.5804
8;Leg-;Div3;Bra_napus;-15;RT08_d-15;Fine roots;1.7716
8;Leg-;Div3;Bra_napus;-15;RT08_d-15;Leaf3;2.0865
8;Leg-;Div3;Bra_napus;-15;RT08_d-15;Other leaves;2.3181
8;Leg-;Div3;Bra_napus;-15;RT08_d-15;Stem;2.1973
8;Leg-;Div3;Bra_napus;-15;RT08_d-15;Taproot;2.0935
9;Leg-;Div0;Bra_napus;-15;RT09_d-15;Fine roots;1.6782
9;Leg-;Div0;Bra_napus;-15;RT09_d-15;Leaf3;2.8796
9;Leg-;Div0;Bra_napus;-15;RT09_d-15;Other leaves;3.1885
9;Leg-;Div0;Bra_napus;-15;RT09_d-15;Stem;2.5994
9;Leg-;Div0;Bra_napus;-15;RT09_d-15;Taproot;2.4154
10;Leg-;Div1;Bra_napus;-15;RT10_d-15;Fine roots;2.29485
10;Leg-;Div1;Bra_napus;-15;RT10_d-15;Leaf3;1.2338
10;Leg-;Div1;Bra_napus;-15;RT10_d-15;Other leaves;1.25645
10;Leg-;Div1;Bra_napus;-15;RT10_d-15;Stem;1.4048
10;Leg-;Div1;Bra_napus;-15;RT10_d-15;Taproot;1.6893
11;Leg+;Div0;Bra_napus;-15;RT11_d-15;Fine roots;1.2994
11;Leg+;Div0;Bra_napus;-15;RT11_d-15;Leaf2;0.9486
11;Leg+;Div0;Bra_napus;-15;RT11_d-15;Other leaves;0.8978
12;Leg+;Div1;Bra_napus;-15;RT12_d-15;Fine roots;2.2789
12;Leg+;Div1;Bra_napus;-15;RT12_d-15;Leaf3;0.8317
12;Leg+;Div1;Bra_napus;-15;RT12_d-15;Other leaves;0.9335
12;Leg+;Div1;Bra_napus;-15;RT12_d-15;Stem;1.209
12;Leg+;Div1;Bra_napus;-15;RT12_d-15;Taproot;1.427
13;Leg+;Div2;Bra_napus;-15;RT13_d-15;Fine roots;2.0717
13;Leg+;Div2;Bra_napus;-15;RT13_d-15;Leaf3;0.906
13;Leg+;Div2;Bra_napus;-15;RT13_d-15;Other leaves;1.3784
13;Leg+;Div2;Bra_napus;-15;RT13_d-15;Stem;1.5085
13;Leg+;Div2;Bra_napus;-15;RT13_d-15;Taproot;1.6441
14;Leg+;Div3;Bra_napus;-15;RT14_d-15;Fine roots;2.1898
14;Leg+;Div3;Bra_napus;-15;RT14_d-15;Leaf3;3.0224
14;Leg+;Div3;Bra_napus;-15;RT14_d-15;Other leaves;2.9579
14;Leg+;Div3;Bra_napus;-15;RT14_d-15;Stem;2.5927
15;Leg+;Div0;Bra_napus;-15;RT15_d-15;Fine roots;1.85205
15;Leg+;Div0;Bra_napus;-15;RT15_d-15;Leaf2;0.9435
15;Leg+;Div0;Bra_napus;-15;RT15_d-15;Other leaves;1.2244
15;Leg+;Div0;Bra_napus;-15;RT15_d-15;Stem;1.4129
15;Leg+;Div0;Bra_napus;-15;RT15_d-15;Taproot;1.41275
