Nom;Code analyse N;id_taxo;distance;org;RT;leg;div;Pcont;Ncont;DM
1954B;1954_B_PA_BN0;Bra_napus;0;Leaves;1;Leg-;Div0;1.81973854636591;1.3761;462.2
979C;979_C_PA BN0;Bra_napus;0;Leaves;4;Leg-;Div3;1.96268979060879;2.819;2184.9
971C;971_C_PA BN0;Bra_napus;0;Leaves;7;Leg-;Div2;1.77156166970533;2.748;2330.1
974C;974_C_PA BN0;Bra_napus;0;Leaves;10;Leg-;Div1;1.6630015037594;2.1744;2651.3
1032C;1032_C_PA BN0;Bra_napus;0;Leaves;13;Leg+;Div2;1.76322386483106;2.3969;1599.6
1035C;1035_C_PA BN0;Bra_napus;0;Leaves;16;Leg+;Div1;2.04210406732537;2.2954;1946.7
977C;977_C_PA BN0;Bra_napus;0;Leaves;19;Leg+;Div0;1.73290557069966;2.2114;1098.1
46B;46_B_PA BN0;Bra_napus;0;Leaves;22;Leg-;Div3;2.48424934591969;1.6738;228
42C;42_C_PA BN0;Bra_napus;0;Leaves;25;Leg-;Div2;1.87721779297338;2.9722;925
20C;20_C_PA BN0;Bra_napus;0;Leaves;28;Leg-;Div1;2.021055839599;3.262;419.5
12C;12_C_PA BN0;Bra_napus;0;Leaves;31;Leg+;Div2;2.1435544773758;3.5154;1944.3
30C;30_C_PA BN0;Bra_napus;0;Leaves;34;Leg+;Div1;2.19499949874687;2.8355;1081.1
40C;40_C_PA BN0;Bra_napus;0;Leaves;40;Leg+;Div3;1.79869593500855;2.232;933.4
976C;976_C_PA BN0;Bra_napus;0;Leaves;2;Leg-;Div1;1.7627852065293;3.7768;1131
967C;967_C_PA BN0;Bra_napus;0;Leaves;5;Leg-;Div0;1.73056153357446;2.7774;2279.8
972C;972_C_PA BN0;Bra_napus;0;Leaves;8;Leg-;Div3;1.38249944862155;2.3509;1747.3
980C;980_C_PA BN0;Bra_napus;0;Leaves;11;Leg+;Div0;1.94081705257179;2.086;2747.5
973C;973_C_PA BN0;Bra_napus;0;Leaves;14;Leg+;Div3;2.07560992481203;2.3387;1898.6
1955B;1955_B_PA BN0;Bra_napus;0;Leaves;17;Leg+;Div2;2.48925976914116;1.9509;103.5
981C;981_C_PA BN0;Bra_napus;0;Leaves;20;Leg+;Div1;1.88184786020718;2.0014;1266
59C;59_C_PA BN0;Bra_napus;0;Leaves;23;Leg-;Div0;2.8548;3.3308;744.2
34C;34_C_PA BN0;Bra_napus;0;Leaves;26;Leg-;Div3;1.95115333243288;3.5748;988
15C;15_C_PA BN0;Bra_napus;0;Leaves;29;Leg-;Div2;2.19131443065495;2.9049;942.2
26B;26_B_PA BN0;Bra_napus;0;Leaves;32;Leg+;Div3;2.4661;1.4367;249.7
56C;56_C_PA BN0;Bra_napus;0;Leaves;35;Leg+;Div2;2.32512653402891;2.2151;968
1C;1_C_PA BN0;Bra_napus;0;Leaves;41;Leg-;Div1;1.51539845630011;3.6947;848.5
975C;975_C_PA BN0;Bra_napus;0;Leaves;3;Leg-;Div2;1.90304777849196;2.7957;2106.5
970C;970_C_PA BN0;Bra_napus;0;Leaves;6;Leg-;Div1;1.89134479485286;2.6959;1562.9
1026C;1026_C_PA BN0;Bra_napus;0;Leaves;9;Leg-;Div0;2.1811947198674;2.8397;1147.2
982C;982_C_PA BN0;Bra_napus;0;Leaves;12;Leg+;Div1;1.5346748344966;2.0638;3346.2
968C;968_C_PA BN0;Bra_napus;0;Leaves;15;Leg+;Div0;1.68357570573139;2.2872;2108.5
978C;978_C_PA BN0;Bra_napus;0;Leaves;18;Leg+;Div3;1.93531238454703;2.9979;1473.2
47C;47_C_PA BN0;Bra_napus;0;Leaves;21;Leg-;Div2;1.98622749717235;2.753;1390.1
32C;32_C_PA BN0;Bra_napus;0;Leaves;24;Leg-;Div1;2.27910135338346;3.4335;2094.8
23C;23_C_PA BN0;Bra_napus;0;Leaves;27;Leg-;Div0;1.89327627686451;3.0101;1146.7
7C;7_C_PA BN0;Bra_napus;0;Leaves;30;Leg-;Div3;1.93826482373599;2.8279;562.4
22C;22_C_PA BN0;Bra_napus;0;Leaves;33;Leg+;Div0;1.80747127819549;1.5817;893.5
44C;44_C_PA BN0;Bra_napus;0;Leaves;37;Leg+;Div0;2.14711729622266;2.86;1269.6
4C;4_C_PA BN0;Bra_napus;0;Leaves;42;Leg+;Div2;2.29444151460816;4.0166;425.9
1951B;1951_B_LM BN0;Bra_napus;0;Limb;1;Leg-;Div0;1.46564626898525;1.1757;192.6
952C;952_C_LM BN0;Bra_napus;0;Limb;4;Leg-;Div3;1.39385243475921;2.3866;503.5
955C;955_C_LM BN0;Bra_napus;0;Limb;8;Leg-;Div3;1.1660277923992;2.124;481.7
963C;963_C_LM BN0;Bra_napus;0;Limb;18;Leg+;Div3;1.42591546999736;2.7806;274
956C;956_C_LM BN0;Bra_napus;0;Limb;9;Leg-;Div0;1.65178307592873;2.8017;343
959C;959_C_LM BN0;Bra_napus;0;Limb;13;Leg+;Div2;1.33474252780606;2.413;461.3
958C;958_C_LM BN0;Bra_napus;0;Limb;12;Leg+;Div1;1.38409088394707;2.2573;665.3
1019C;1019_C_R BN0;Bra_napus;0;Fine roots;3;Leg-;Div2;1.86720360473946;1.8064;786.2
1004C;1004_C_R BN0;Bra_napus;0;Fine roots;6;Leg-;Div1;2.10707022745038;1.9254;980
1986B;1986_B_R BN0;Bra_napus;0;Fine roots;9;Leg-;Div0;1.98068503266118;2.0121;470.7
1012C;1012_C_R BN0;Bra_napus;0;Fine roots;12;Leg+;Div1;2.07031377811488;1.9079;1338.6
1007C;1007_C_R BN0;Bra_napus;0;Fine roots;15;Leg+;Div0;2.18823049678215;2.0259;1060
1000C;1000_C_R BN0;Bra_napus;0;Fine roots;18;Leg+;Div3;1.65544900630499;1.7657;773.7
950C;950_C_LM BN0;Bra_napus;0;Limb;2;Leg-;Div1;1.41057803127245;3.3412;262.4
953C;953_C_LM BN0;Bra_napus;0;Limb;5;Leg-;Div0;1.19912925537559;2.3894;389.6
960C;960_C_LM BN0;Bra_napus;0;Limb;14;Leg+;Div3;1.65177195858992;2.2719;481.7
964C;964_C_LM BN0;Bra_napus;0;Limb;20;Leg+;Div1;1.76532437369645;2.4384;427
1953B;1953_B_LM BN0;Bra_napus;0;Limb;10;Leg-;Div1;1.30921254868934;;352.40495
