no;div;leg;distance;id_jour;id_loca;id_taxo;DW;LA
1;Div0;Leg-;-24;44;RT01_d-24;Lol_peren;198.9;1100.876
1;Div0;Leg-;-21;44;RT01_d-21;Ger_disse;4.39999999999998;68.158
1;Div0;Leg-;-18;44;RT01_d-18;Ver_persi;1.59999999999991;23.151
1;Div0;Leg-;-15;44;RT01_d-15;Bra_napus;2646.5;
1;Div0;Leg-;-12;44;RT01_d-12;Lol_peren;70.1999999999999;445.941
1;Div0;Leg-;-9;44;RT01_d-9;Ger_disse;2.10000000000002;33.881
1;Div0;Leg-;-6;44;RT01_d-6;Ver_persi;3.69999999999993;27.552
1;Div0;Leg-;-3;44;RT01_d-3;Lol_peren;127.8;616.247
1;Div0;Leg-;0;44;RT01_d0;Bra_napus;914;5958.343
1;Div0;Leg-;3;44;RT01_d+3;Ger_disse;8;105.161
1;Div0;Leg-;6;44;RT01_d+6;Ver_persi;14;84.886
1;Div0;Leg-;9;44;RT01_d+9;Lol_peren;54.5;327.621
1;Div0;Leg-;12;44;RT01_d+12;Ger_disse;0.399999999999977;7.516
1;Div0;Leg-;15;44;RT01_d+15;Bra_napus;3315;21792.39
1;Div0;Leg-;18;44;RT01_d+18;Ver_persi;4.40000000000009;60.635
1;Div0;Leg-;21;44;RT01_d+21;Lol_peren;13.2;92.073
2;Div1;Leg-;-24;43;RT02_d-24;Lol_peren;180.5;1491.749
2;Div1;Leg-;-18;43;RT02_d-18;Ver_persi;18.3;174.793
2;Div1;Leg-;-15;43;RT02_d-15;Bra_napus;163.2;1628.88
2;Div1;Leg-;-12;43;RT02_d-12;Lol_peren;37.2;367.462
2;Div1;Leg-;-6;43;RT02_d-6;Ver_persi;2.70000000000005;42.828
2;Div1;Leg-;-3;43;RT02_d-3;Lol_peren;346.2;3471.858
2;Div1;Leg-;0;43;RT02_d0;Bra_napus;2255;18894.246
2;Div1;Leg-;6;43;RT02_d+6;Ver_persi;9.19999999999993;80.995
2;Div1;Leg-;9;43;RT02_d+9;Lol_peren;98.8999999999999;527.364
2;Div1;Leg-;15;43;RT02_d+15;Bra_napus;1215.4;9743.588
2;Div1;Leg-;18;43;RT02_d+18;Ver_persi;1;31.292
2;Div1;Leg-;21;43;RT02_d+21;Lol_peren;24.5999999999999;184.399
3;Div2;Leg-;-24;43;RT03_d-24;Lol_peren;138.7;881.596
3;Div2;Leg-;-18;43;RT03_d-18;Ver_persi;25.4000000000001;217.074
3;Div2;Leg-;-15;43;RT03_d-15;Bra_napus;1681.6;11258.48
3;Div2;Leg-;-12;43;RT03_d-12;Lol_peren;204;1146.727
