RT;div;leg;id_loca;distance;id_jour;id_taxo;organe;strata;DW;FW
1;Div0;Leg-;RT01_d+12;12;44;Ger_disse;Aerial;0;0.1;
1;Div0;Leg-;RT01_d+12;12;44;Ger_disse;Fine roots;1;0.3;
1;Div0;Leg-;RT01_d+12;12;44;Ger_disse;Fine roots;1;;1
1;Div0;Leg-;RT01_d+15;15;44;Bra_napus;Fine roots;1;32.3;
1;Div0;Leg-;RT01_d+15;15;44;Bra_napus;Fine roots;1;;265.1
1;Div0;Leg-;RT01_d+15;15;44;Bra_napus;Fine roots;2;103.7;
1;Div0;Leg-;RT01_d+15;15;44;Bra_napus;Fine roots;2;;748.2
1;Div0;Leg-;RT01_d+15;15;44;Bra_napus;Fine roots;3;197.2;
1;Div0;Leg-;RT01_d+15;15;44;Bra_napus;Fine roots;3;;1471.9
1;Div0;Leg-;RT01_d+15;15;44;Bra_napus;Fine roots;4;467.1;
1;Div0;Leg-;RT01_d+15;15;44;Bra_napus;Fine roots;4;;5208.5
1;Div0;Leg-;RT01_d+15;15;44;Bra_napus;Leaf2;0;306.5;
1;Div0;Leg-;RT01_d+15;15;44;Bra_napus;Leaf2;0;;1533.6
1;Div0;Leg-;RT01_d+15;15;44;Bra_napus;Other leaves;0;1738.2;
1;Div0;Leg-;RT01_d+15;15;44;Bra_napus;Stem;0;171.5;
1;Div0;Leg-;RT01_d+15;15;44;Bra_napus;Taproot;1;208.1;
1;Div0;Leg-;RT01_d+15;15;44;Bra_napus;Taproot;1;;1207.7
1;Div0;Leg-;RT01_d+15;15;44;Bra_napus;Taproot;2;59.3;
1;Div0;Leg-;RT01_d+15;15;44;Bra_napus;Taproot;2;;380.2
1;Div0;Leg-;RT01_d+15;15;44;Bra_napus;Taproot;3;14.4;
1;Div0;Leg-;RT01_d+15;15;44;Bra_napus;Taproot;3;;82.7
1;Div0;Leg-;RT01_d+15;15;44;Bra_napus;Taproot;4;16.7;
1;Div0;Leg-;RT01_d+15;15;44;Bra_napus;Taproot;4;;129.3
1;Div0;Leg-;RT01_d+18;18;44;Ver_persi;Aerial;0;2.9;
1;Div0;Leg-;RT01_d+18;18;44;Ver_persi;Fine roots;1;1.5;
1;Div0;Leg-;RT01_d+18;18;44;Ver_persi;Fine roots;1;;13
1;Div0;Leg-;RT01_d+21;21;44;Lol_peren;Fine roots;1;6.8;
1;Div0;Leg-;RT01_d+21;21;44;Lol_peren;Fine roots;1;;41.1
1;Div0;Leg-;RT01_d+21;21;44;Lol_peren;Fine roots;2;2.1;
1;Div0;Leg-;RT01_d+21;21;44;Lol_peren;Fine roots;2;;14.8
1;Div0;Leg-;RT01_d+21;21;44;Lol_peren;Other leaves;0;4.3;
1;Div0;Leg-;RT01_d+3;3;44;Ger_disse;Aerial;0;6.1;
1;Div0;Leg-;RT01_d+3;3;44;Ger_disse;Fine roots;1;1.5;
1;Div0;Leg-;RT01_d+3;3;44;Ger_disse;Fine roots;1;;12.7
1;Div0;Leg-;RT01_d+3;3;44;Ger_disse;Fine roots;2;0.4;
1;Div0;Leg-;RT01_d+3;3;44;Ger_disse;Fine roots;2;;2.3
1;Div0;Leg-;RT01_d+6;6;44;Ver_persi;Aerial;0;4.9;
1;Div0;Leg-;RT01_d+6;6;44;Ver_persi;Fine roots;1;6.1;
1;Div0;Leg-;RT01_d+6;6;44;Ver_persi;Fine roots;1;;65.1
1;Div0;Leg-;RT01_d+6;6;44;Ver_persi;Fine roots;2;3;
1;Div0;Leg-;RT01_d+6;6;44;Ver_persi;Fine roots;2;;31.1
1;Div0;Leg-;RT01_d+9;9;44;Lol_peren;Fine roots;1;9.9;
1;Div0;Leg-;RT01_d+9;9;44;Lol_peren;Fine roots;1;;75.9
1;Div0;Leg-;RT01_d+9;9;44;Lol_peren;Fine roots;2;21.9;
1;Div0;Leg-;RT01_d+9;9;44;Lol_peren;Fine roots;2;;187
1;Div0;Leg-;RT01_d+9;9;44;Lol_peren;Fine roots;3;0.7;
1;Div0;Leg-;RT01_d+9;9;44;Lol_peren;Fine roots;3;;5.6
1;Div0;Leg-;RT01_d+9;9;44;Lol_peren;Leaf3;0;6.2;
1;Div0;Leg-;RT01_d+9;9;44;Lol_peren;Leaf3;0;;23
1;Div0;Leg-;RT01_d+9;9;44;Lol_peren;Other leaves;0;15.8;
1;Div0;Leg-;RT01_d0;0;44;Bra_napus;Fine roots;1;4.3;
