"numPL";"RT";"PAR"
"1";1;1;468.494
"2";2;1;471.031
"3";3;1;473.568
"4";4;1;476.105
"5";5;1;478.642
"6";6;1;481.179
"7";7;1;483.716
"8";8;1;486.253
"9";9;1;488.79
"10";10;1;491.327
"11";11;1;493.864
"12";12;1;496.401
"13";13;1;498.938
"14";14;1;501.475
"15";15;1;504.012
"16";16;1;506.549
"17";17;1;509.086
"18";1;2;475.2
"19";2;2;483.8
"20";3;2;492.4
"21";4;2;501
"22";5;2;509.6
"23";6;2;518.2
"24";7;2;526.8
"25";8;2;535.4
"26";9;2;544
"27";10;2;552.6
"28";11;2;561.2
"29";12;2;569.8
"30";13;2;578.4
"31";14;2;587
"32";15;2;595.6
"33";16;2;604.2
"34";17;2;612.8
"35";1;3;484
"36";2;3;494
"37";3;3;504
"38";4;3;514
"39";5;3;524
"40";6;3;534
"41";7;3;544
"42";8;3;554
"43";9;3;564
"44";10;3;574
"45";11;3;584
"46";12;3;594
"47";13;3;604
"48";14;3;614
"49";15;3;624
"50";16;3;634
"51";17;3;644
"52";1;4;487
"53";2;4;495
"54";3;4;503
"55";4;4;511
"56";5;4;519
"57";6;4;527
"58";7;4;535
"59";8;4;543
"60";9;4;551
"61";10;4;559
"62";11;4;567
"63";12;4;575
"64";13;4;583
"65";14;4;591
"66";15;4;599
"67";16;4;607
"68";17;4;615
"69";1;5;488.666666666667
"70";2;5;500.666666666667
"71";3;5;512.666666666667
"72";4;5;524.666666666667
"73";5;5;536.666666666667
"74";6;5;548.666666666667
"75";7;5;560.666666666667
"76";8;5;572.666666666667
"77";9;5;584.666666666667
"78";10;5;596.666666666667
"79";11;5;608.666666666667
"80";12;5;620.666666666667
"81";13;5;632.666666666667
"82";14;5;644.666666666667
"83";15;5;656.666666666667
"84";16;5;668.666666666667
"85";17;5;680.666666666667
"86";1;6;446.133333333333
"87";2;6;459.533333333333
"88";3;6;472.933333333333
"89";4;6;486.333333333333
"90";5;6;499.733333333333
"91";6;6;513.133333333333
"92";7;6;526.533333333333
"93";8;6;539.933333333333
"94";9;6;553.333333333333
"95";10;6;566.733333333333
"96";11;6;580.133333333333
"97";12;6;593.533333333333
