RT;div;leg;distance;id_jour;id_loca;id_taxo;RLMax
1;Div0;Leg-;-24;44;RT01_d-24;Lol_peren;26.5
1;Div0;Leg-;-21;44;RT01_d-21;Ger_disse;4.4
1;Div0;Leg-;-18;44;RT01_d-18;Ver_persi;14
1;Div0;Leg-;-15;44;RT01_d-15;Bra_napus;95.3
1;Div0;Leg-;-12;44;RT01_d-12;Lol_peren;40.6
1;Div0;Leg-;-9;44;RT01_d-9;Ger_disse;6.7
1;Div0;Leg-;-6;44;RT01_d-6;Ver_persi;13.7
1;Div0;Leg-;-3;44;RT01_d-3;Lol_peren;31.6
1;Div0;Leg-;0;44;RT01_d0;Bra_napus;75
1;Div0;Leg-;3;44;RT01_d+3;Ger_disse;10.3
1;Div0;Leg-;6;44;RT01_d+6;Ver_persi;15.1
1;Div0;Leg-;9;44;RT01_d+9;Lol_peren;35.2
1;Div0;Leg-;12;44;RT01_d+12;Ger_disse;1.5
1;Div0;Leg-;15;44;RT01_d+15;Bra_napus;98.2
1;Div0;Leg-;18;44;RT01_d+18;Ver_persi;6.6
1;Div0;Leg-;21;44;RT01_d+21;Lol_peren;21.5
2;Div1;Leg-;-24;43;RT02_d-24;Lol_peren;37
2;Div1;Leg-;-18;43;RT02_d-18;Ver_persi;8.5
2;Div1;Leg-;-15;43;RT02_d-15;Bra_napus;17.9
2;Div1;Leg-;-12;43;RT02_d-12;Lol_peren;22.2
2;Div1;Leg-;-3;43;RT02_d-3;Lol_peren;25.1
2;Div1;Leg-;0;43;RT02_d0;Bra_napus;85.3
2;Div1;Leg-;6;43;RT02_d+6;Ver_persi;10.5
2;Div1;Leg-;9;43;RT02_d+9;Lol_peren;40.5
2;Div1;Leg-;15;43;RT02_d+15;Bra_napus;82.4
2;Div1;Leg-;18;43;RT02_d+18;Ver_persi;6
2;Div1;Leg-;21;43;RT02_d+21;Lol_peren;12.7
3;Div2;Leg-;-24;43;RT03_d-24;Lol_peren;35
3;Div2;Leg-;-18;43;RT03_d-18;Ver_persi;19.2
3;Div2;Leg-;-15;43;RT03_d-15;Bra_napus;94
3;Div2;Leg-;-12;43;RT03_d-12;Lol_peren;27.9
3;Div2;Leg-;-3;43;RT03_d-3;Lol_peren;11.9
3;Div2;Leg-;0;43;RT03_d0;Bra_napus;92.5
3;Div2;Leg-;9;43;RT03_d+9;Lol_peren;61.6
3;Div2;Leg-;15;43;RT03_d+15;Bra_napus;92.9
3;Div2;Leg-;21;43;RT03_d+21;Lol_peren;40
4;Div3;Leg-;-24;43;RT04_d-24;Lol_peren;75.8
4;Div3;Leg-;-21;43;RT04_d-21;Ger_disse;10
4;Div3;Leg-;-18;43;RT04_d-18;Ver_persi;12.4
4;Div3;Leg-;-15;43;RT04_d-15;Bra_napus;73
4;Div3;Leg-;-12;43;RT04_d-12;Lol_peren;65.5
4;Div3;Leg-;-9;43;RT04_d-9;Ger_disse;14.5
4;Div3;Leg-;-6;43;RT04_d-6;Ver_persi;9.7
4;Div3;Leg-;-3;43;RT04_d-3;Lol_peren;68.4
4;Div3;Leg-;0;43;RT04_d0;Bra_napus;93.9
4;Div3;Leg-;3;43;RT04_d+3;Ger_disse;5.6
4;Div3;Leg-;6;43;RT04_d+6;Ver_persi;11.1
4;Div3;Leg-;9;43;RT04_d+9;Lol_peren;33.3
4;Div3;Leg-;12;43;RT04_d+12;Ger_disse;6.5
4;Div3;Leg-;15;43;RT04_d+15;Bra_napus;83.5
4;Div3;Leg-;18;43;RT04_d+18;Ver_persi;3.2
4;Div3;Leg-;21;43;RT04_d+21;Lol_peren;48.2
4;Div3;Leg-;24;43;RT04_d+24;Ger_disse;2.6
5;Div0;Leg-;-24;43;RT05_d-24;Lol_peren;47.5
5;Div0;Leg-;-21;43;RT05_d-21;Ger_disse;3.6
5;Div0;Leg-;-18;43;RT05_d-18;Ver_persi;7.7
5;Div0;Leg-;-12;43;RT05_d-12;Lol_peren;39.2
5;Div0;Leg-;-9;43;RT05_d-9;Ger_disse;6.2
5;Div0;Leg-;-6;43;RT05_d-6;Ver_persi;9.1
5;Div0;Leg-;-3;43;RT05_d-3;Lol_peren;18
5;Div0;Leg-;0;43;RT05_d0;Bra_napus;90.7
5;Div0;Leg-;3;43;RT05_d+3;Ger_disse;15.6
5;Div0;Leg-;6;43;RT05_d+6;Ver_persi;6.6
5;Div0;Leg-;9;43;RT05_d+9;Lol_peren;34.4
5;Div0;Leg-;15;43;RT05_d+15;Bra_napus;37.7
5;Div0;Leg-;18;43;RT05_d+18;Ver_persi;7.2
5;Div0;Leg-;21;43;RT05_d+21;Lol_peren;18.4
6;Div1;Leg-;-24;43;RT06_d-24;Lol_peren;57.8
6;Div1;Leg-;-18;43;RT06_d-18;Ver_persi;7.8
6;Div1;Leg-;-15;43;RT06_d-15;Bra_napus;90
6;Div1;Leg-;-12;43;RT06_d-12;Lol_peren;9.3
6;Div1;Leg-;-9;43;RT06_d-9;Ger_disse;8.2
6;Div1;Leg-;-6;43;RT06_d-6;Ver_persi;9
6;Div1;Leg-;-3;43;RT06_d-3;Lol_peren;10.8
6;Div1;Leg-;0;43;RT06_d0;Bra_napus;96.4
6;Div1;Leg-;3;43;RT06_d+3;Ger_disse;7.6
6;Div1;Leg-;9;43;RT06_d+9;Lol_peren;7.8
6;Div1;Leg-;15;43;RT06_d+15;Bra_napus;14.4
6;Div1;Leg-;18;43;RT06_d+18;Ver_persi;4
6;Div1;Leg-;21;43;RT06_d+21;Lol_peren;13.4
7;Div2;Leg-;-24;43;RT07_d-24;Lol_peren;76.4
7;Div2;Leg-;-21;43;RT07_d-21;Ger_disse;4.8
7;Div2;Leg-;-18;43;RT07_d-18;Ver_persi;4.5
7;Div2;Leg-;-15;43;RT07_d-15;Bra_napus;98.4
7;Div2;Leg-;-12;43;RT07_d-12;Lol_peren;54.2
7;Div2;Leg-;-9;43;RT07_d-9;Ger_disse;7.7
7;Div2;Leg-;-6;43;RT07_d-6;Ver_persi;4.2
7;Div2;Leg-;-3;43;RT07_d-3;Lol_peren;18.6
7;Div2;Leg-;0;43;RT07_d0;Bra_napus;94.2
7;Div2;Leg-;3;43;RT07_d+3;Ger_disse;6.5
7;Div2;Leg-;6;43;RT07_d+6;Ver_persi;9.6
7;Div2;Leg-;9;43;RT07_d+9;Lol_peren;34.7
7;Div2;Leg-;15;43;RT07_d+15;Bra_napus;33.7
7;Div2;Leg-;21;43;RT07_d+21;Lol_peren;29.7
7;Div2;Leg-;24;43;RT07_d+24;Ger_disse;2.4
8;Div3;Leg-;-24;43;RT08_d-24;Lol_peren;33.5
8;Div3;Leg-;-21;43;RT08_d-21;Ger_disse;2.7
8;Div3;Leg-;-18;43;RT08_d-18;Ver_persi;3.2
8;Div3;Leg-;-15;43;RT08_d-15;Bra_napus;81.5
8;Div3;Leg-;-9;43;RT08_d-9;Ger_disse;5
8;Div3;Leg-;-6;43;RT08_d-6;Ver_persi;18
8;Div3;Leg-;-3;43;RT08_d-3;Lol_peren;67.2
8;Div3;Leg-;0;43;RT08_d0;Bra_napus;84.5
8;Div3;Leg-;3;43;RT08_d+3;Ger_disse;8.7
8;Div3;Leg-;6;43;RT08_d+6;Ver_persi;13.5
8;Div3;Leg-;9;43;RT08_d+9;Lol_peren;11.7
8;Div3;Leg-;15;43;RT08_d+15;Bra_napus;3.2
8;Div3;Leg-;18;43;RT08_d+18;Ver_persi;4
8;Div3;Leg-;21;43;RT08_d+21;Lol_peren;39.9
9;Div0;Leg-;-24;42;RT09_d-24;Lol_peren;46.5
