div;strata;leg;stoe;ratio;;;;;
div0;-5;Leg-;ln(GLU) : ln(URE);1.9093670286846;;;;;
div0;-20;Leg-;ln(GLU) : ln(URE);2.02392896022073;;;;;
div0;-40;Leg-;ln(GLU) : ln(URE);3.25920569215624;;;;;
div0;-75;Leg-;ln(GLU) : ln(URE);1.90872200431312;;;;;
div1;-5;Leg-;ln(GLU) : ln(URE);1.87893769295769;;;;;
div1;-20;Leg-;ln(GLU) : ln(URE);2.18988065653626;;;;;
div1;-40;Leg-;ln(GLU) : ln(URE);2.5303445956934;;;;;
div1;-75;Leg-;ln(GLU) : ln(URE);2.01658986713902;;;;;
div2;-5;Leg-;ln(GLU) : ln(URE);1.75131161840978;;;;;
div2;-20;Leg-;ln(GLU) : ln(URE);1.75298104157535;;;;;
div2;-40;Leg-;ln(GLU) : ln(URE);1.8025749727949;;;;;
div2;-75;Leg-;ln(GLU) : ln(URE);1.81243410237303;;;;;
div3;-5;Leg-;ln(GLU) : ln(URE);2.52770003983485;;;;;
div3;-20;Leg-;ln(GLU) : ln(URE);2.54454113440766;;;;;
div3;-40;Leg-;ln(GLU) : ln(URE);3.19091696651016;;;;;
div3;-75;Leg-;ln(GLU) : ln(URE);2.18401762764134;;;;;
div0;-5;Leg-;ln(URE) : ln(PHO);0.339352463633795;;;;;
div0;-20;Leg-;ln(URE) : ln(PHO);0.331114960465738;;;;;
div0;-40;Leg-;ln(URE) : ln(PHO);0.270239964504533;;;;;
div0;-75;Leg-;ln(URE) : ln(PHO);0.35136322828012;;;;;
div1;-5;Leg-;ln(URE) : ln(PHO);0.372921626702382;;;;;
div1;-20;Leg-;ln(URE) : ln(PHO);0.34605252447335;;;;;
div1;-40;Leg-;ln(URE) : ln(PHO);0.355664426221092;;;;;
div1;-75;Leg-;ln(URE) : ln(PHO);0.368773127336172;;;;;
div2;-5;Leg-;ln(URE) : ln(PHO);0.363414979208918;;;;;
div2;-20;Leg-;ln(URE) : ln(PHO);0.364556996987073;;;;;
div2;-40;Leg-;ln(URE) : ln(PHO);0.358095619228547;;;;;
div2;-75;Leg-;ln(URE) : ln(PHO);0.36131992251167;;;;;
div3;-5;Leg-;ln(URE) : ln(PHO);0.29095693768147;;;;;
div3;-20;Leg-;ln(URE) : ln(PHO);0.28365499415822;;;;;
div3;-40;Leg-;ln(URE) : ln(PHO);0.257812957731829;;;;;
div3;-75;Leg-;ln(URE) : ln(PHO);0.302567888842398;;;;;
div0;-5;Leg-;ln(PHO) : ln(ARY);3.75826588682188;;;;;
div0;-20;Leg-;ln(PHO) : ln(ARY);3.825432626992;;;;;
div0;-40;Leg-;ln(PHO) : ln(ARY);3.36872295415386;;;;;
div0;-75;Leg-;ln(PHO) : ln(ARY);3.07337650917695;;;;;
